Date,Description,Amount
01/01/2026,TESCO STORES,-38.20
02/01/2026,NETFLIX.COM,-15.99
04/01/2026,SPOTIFY,-11.99
07/01/2026,PURE GYM LONDON,-24.99
09/01/2026,COSTA COFFEE,-3.85
12/01/2026,TESCO STORES,-44.10
15/01/2026,AMAZON PRIME,-8.99
19/01/2026,TESCO STORES,-29.75
22/01/2026,DISNEY PLUS,-7.99
02/02/2026,NETFLIX.COM,-15.99
04/02/2026,SPOTIFY,-11.99
06/02/2026,TESCO STORES,-41.30
07/02/2026,PURE GYM LONDON,-24.99
10/02/2026,COSTA COFFEE,-4.10
15/02/2026,AMAZON PRIME,-8.99
18/02/2026,TESCO STORES,-36.60
22/02/2026,DISNEY PLUS,-7.99
02/03/2026,NETFLIX.COM,-15.99
04/03/2026,SPOTIFY,-11.99
05/03/2026,TESCO STORES,-40.05
07/03/2026,PURE GYM LONDON,-24.99
11/03/2026,COSTA COFFEE,-3.95
15/03/2026,AMAZON PRIME,-8.99
20/03/2026,TESCO STORES,-33.40
22/03/2026,DISNEY PLUS,-7.99
02/04/2026,NETFLIX.COM,-15.99
04/04/2026,SPOTIFY,-11.99
06/04/2026,TESCO STORES,-45.80
07/04/2026,PURE GYM LONDON,-24.99
12/04/2026,COSTA COFFEE,-4.25
15/04/2026,AMAZON PRIME,-8.99
21/04/2026,TESCO STORES,-31.15
22/04/2026,DISNEY PLUS,-7.99
